Commune,Total,x,y,ID
Endingen,2512,8.29028,47.53889,833
Fisibach,439,8.40972,47.56389,883
Full-Reuenthal,859,8.20473,47.61606,808
Kaiserstuhl,390,8.418,47.56839,883
Klingnau,3264,8.25048,47.57998,833
Leibstadt,1259,8.17611,47.5879,808
Lengnau (AG),2647,8.33056,47.52222,857
Leuggern,2112,8.21945,47.58195,808
Mellikon,260,8.35417,47.56944,858
Rekingen (AG),939,8.3188,47.57009,833
Rietheim,734,8.28333,47.6,834
Rümikon,291,8.3754,47.56558,883
Schneisingen,1326,8.36667,47.51944,857
Siglistorf,613,8.38064,47.54533,857
Tegerfelden,1152,8.28914,47.55809,833
Wislikofen,353,8.36389,47.55833,857
Bad Zurzach,4091,8.29365,47.58764,833
Arbon,14006,9.43333,47.51667,1359
Dozwil,673,9.32336,47.57665,1337
Egnach,4519,9.38048,47.54268,1359
Hefenhofen,1213,9.31366,47.56,1337
Kesswil,996,9.31723,47.5935,1338
Roggwil (TG),2928,9.3958,47.49981,1359
Romanshorn,10498,9.37869,47.56586,1360
Salmsach,1393,9.37229,47.55433,1337
Sommeri,510,9.28383,47.57125,1312
Uttwil,1817,9.34101,47.5844,1338
Amriswil,12892,9.29586,47.54699,1311
Bischofszell,5794,9.23882,47.49575,1282
Erlen,3561,9.23415,47.54814,1283
Hauptwil-Gottshaus,1884,9.25066,47.48015,1310
Hohentannen,610,9.22472,47.51644,1282
Kradolf-Schönenberg,3489,9.1986,47.52139,1282
Sulgen,3615,9.18585,47.53967,1283
Zihlschlacht-Sitterdorf,2225,9.26776,47.51401,1311
Basadingen-Schlattingen,1817,8.74821,47.66868,1046
Diessenhofen,3633,8.74958,47.68908,1046
Schlatt (TG),1629,8.70332,47.66134,1012
Aadorf,8706,8.90099,47.49204,1110
Felben-Wellhausen,2668,8.94221,47.57914,1148
Frauenfeld,24301,8.89893,47.55776,1112
Gachnang,3958,8.85311,47.53935,1111
Hüttlingen,828,8.98081,47.57803,1184
Matzingen,2595,8.93365,47.51957,1147
Neunforn,947,8.77196,47.60232,1044
Stettfurt,1157,8.95317,47.52588,1147
Thundorf,1411,8.96358,47.54594,1148
Uesslingen-Buch,1081,8.83099,47.58146,1077
Warth-Weiningen,1232,8.88191,47.58811,1112
Altnau,2135,9.2616,47.61052,1313
Bottighofen,2154,9.20882,47.63643,1285
Ermatingen,3147,9.08573,47.67057,1222
Gottlieben,324,9.12736,47.66452,1255
Güttingen,1560,9.28742,47.60349,1312
Kemmental,2369,9.14126,47.60801,1254
Kreuzlingen,21152,9.17504,47.65051,1254
Langrickenbach,1265,9.24727,47.59353,1312
Lengwil,1643,9.19242,47.62519,1284
Münsterlingen,3161,9.23271,47.63197,1285
Tägerwilen,4325,9.13999,47.65698,1254
Wäldi,1026,9.09504,47.63421,1222
Affeltrangen,2476,9.03307,47.52581,1183
Bettwiesen,1134,9.0285,47.49718,1182
Bichelsee-Balterswil,2777,8.92434,47.44902,1146
Eschlikon,4211,8.96381,47.46361,1146
Fischingen,2598,8.96862,47.41422,1145
Lommis,1217,8.99669,47.51729,1183
Münchwilen (TG),5181,8.99677,47.47719,1182
Rickenbach (TG),2734,9.04843,47.44939,1218
Schönholzerswilen,807,9.14089,47.51702,1252
Sirnach,7605,8.99763,47.46222,1182
Tobel-Tägerschen,1544,9.03209,47.50914,1183
Wängi,4511,8.95325,47.49654,1147
Wilen (TG),2435,9.03419,47.45142,1218
Wuppenau,1112,9.10904,47.49633,1219
Berlingen,855,9.01969,47.67388,1186
Eschenz,1704,8.87472,47.64793,1113
Herdern,1012,8.91077,47.60304,1149
Homburg,1506,9.00756,47.63469,1185
Hüttwilen,1655,8.87343,47.60674,1112
Mammern,625,8.91519,47.64625,1113
Müllheim,2856,9.00357,47.60195,1184
Pfyn,1910,8.9542,47.59693,1149
Raperswilen,391,9.04261,47.63241,1185
Salenstein,1275,9.05736,47.65937,1222
Steckborn,3660,8.98333,47.66667,1150
Wagenhausen,1655,8.84782,47.66003,1079
Amlikon-Bissegg,1314,9.04784,47.56257,1220
Berg (TG),3252,9.16635,47.57879,1253
Birwinken,1347,9.21467,47.57648,1283
Bürglen (TG),3633,9.1495,47.54921,1252
Bussnang,2244,9.08157,47.55678,1220
Märstetten,2740,9.06851,47.59252,1221
Weinfelden,10968,9.15713,47.54237,1252
Wigoltingen,2349,9.03141,47.5977,1184
Arbedo-Castione,4754,9.07764,46.2013,1226
Bellinzona,17988,9.01703,46.19278,1194
Cadenazzo,2723,8.94719,46.15172,1156
Camorino,2780,9.00547,46.16483,1193
Giubiasco,8486,9.00793,46.17246,1157
Gnosca,732,9.02218,46.23353,1195
Gorduno,780,9.03076,46.21631,1194
Lumino,1413,9.0642,46.2302,1227
Moleno,123,8.99368,46.26771,1159
Monte Carasso,2826,8.99892,46.18649,1157
Pianezzo,592,9.02522,46.17006,1193
Preonzo,611,9.00505,46.26187,1195
Sementina,3101,8.99162,46.18363,1157
Acquarossa,1830,8.94261,46.45473,1127
Blenio,1766,8.94609,46.47613,1127
Airolo,1562,8.61189,46.52855,957
Bedretto,94,8.51137,46.50596,923
Faido,2816,8.80125,46.477,1056
Giornico,869,8.87369,46.40141,1089
Personico,340,8.91609,46.37204,1125
Pollegio,728,8.94839,46.36486,1125
Prato (Leventina),412,8.757,46.4824,1056
Sobrio,77,8.90064,46.3988,1126
Ascona,5356,8.77327,46.15451,1050
Brione (Verzasca),178,8.79173,46.29525,1053
Brione sopra Minusio,486,8.81421,46.18417,1085
Brissago,1711,8.71181,46.12013,1016
Corippo,13,8.84073,46.23593,1086
Gordola,4454,8.86657,46.18256,1085
Gresso,38,8.61631,46.2249,951
Lavertezzo,1318,8.83756,46.25893,1086
Locarno,15637,8.79953,46.17086,1050
Losone,6473,8.75928,46.16866,1050
Mergoscia,215,8.84777,46.21061,1086
Minusio,7075,8.81473,46.17769,1085
Mosogno,52,8.64159,46.19877,984
Muralto,2636,8.80219,46.17323,1050
Orselina,734,8.79979,46.18013,1050
Ronco sopra Ascona,610,8.72793,46.14624,1016
Sonogno,91,8.78514,46.3504,1054
Tenero-Contra,2844,8.84487,46.18446,1085
Vergeletto,59,8.60208,46.22706,951
Vogorno,275,8.85661,46.21191,1086
Onsernone,236,8.58662,46.2035,950
Isorno,298,8.71667,46.18333,1017
Cugnasco-Gerra,2902,8.80134,46.31709,1053
Aranno,347,8.87069,46.01798,1082
Arogno,985,8.98441,45.95909,1153
Bedano,1536,8.91935,46.05122,1119
Bedigliora,624,8.83927,46.00242,1082
Bioggio,2578,8.91438,46.01961,1118
Brusino Arsizio,480,8.93875,45.93026,1152
Cademario,741,8.8924,46.02264,1118
Cadempino,1519,8.93403,46.03672,1154
Canobbio,2122,8.96605,46.03592,1154
Caslano,4235,8.87739,45.97364,1081
Comano,2058,8.95526,46.03635,1154
Croglio,868,8.84229,45.98835,1081
Cureglia,1347,8.94437,46.03736,1154
Grancia,518,8.92691,45.96809,1153
Gravesano,1255,8.91832,46.04208,1119
Lamone,1765,8.93158,46.0453,1119
Lugano,62535,8.96004,46.01008,1154
Magliaso,1464,8.88796,45.98122,1118
Manno,1290,8.91824,46.02885,1119
Maroggia,623,8.97055,45.93521,1152
Massagno,6084,8.94354,46.01257,1154
Melide,1783,8.94725,45.95455,1153
Mezzovico-Vira,1336,8.91134,46.09694,1120
Miglieglia,309,8.85738,46.02379,1082
Monteggio,885,8.80366,45.99614,1048
Morcote,755,8.916,45.925,1117
Muzzano,812,8.92709,45.99622,1118
Neggio,326,8.8797,45.98709,1118
Novaggio,817,8.8561,46.0102,1082
Origlio,1439,8.94656,46.0534,1155
Ponte Capriasca,1865,8.94819,46.06055,1155
Ponte Tresa,786,8.85927,45.97167,1081
Porza,1602,8.94989,46.0268,1154
Rovio,805,8.98699,45.93309,1152
Savosa,2196,8.94467,46.01917,1154
Sorengo,1584,8.93783,45.99766,1118
Capriasca,6430,8.95609,46.06507,1155
Torricella-Taverne,3045,8.91244,46.06831,1119
Vico Morcote,374,8.91935,45.92817,1117
Collina d'Oro,4643,8.91976,45.97719,1118
Alto Malcantone,1407,8.87645,46.05425,1119
Monteceneri,4611,8.92112,46.11255,1120
Balerna,3324,9.00724,45.84638,1187
Chiasso,7894,9.03119,45.83203,1187
Coldrerio,2820,8.98772,45.854,1151
Mendrisio,14671,8.9816,45.87019,1151
Morbio Inferiore,4585,9.01907,45.84915,1187
Riva San Vitale,2582,8.97167,45.90123,1152
Stabio,4569,8.93642,45.84846,1151
Vacallo,3362,9.03335,45.84466,1187
Breggia,2027,9.04672,45.89292,1188
Biasca,6079,8.96965,46.35972,1160
Cresciano,687,9.00261,46.27875,1159
Iragna,565,8.96656,46.32571,1160
Osogna,1040,8.98579,46.31208,1160
Bosco/Gurin,51,8.49123,46.31696,919
Campo (Vallemaggia),56,8.49577,46.28855,887
Cerentino,52,8.54526,46.30817,919
Cevio,1141,8.60332,46.31479,953
Linescio,49,8.58221,46.30921,952
Maggia,2550,8.7062,46.24689,1018
Lavizzara,536,8.64263,46.42053,988
